Sample1	Sample2	Sample3	Sample4	Sample5
BECN1	33.617127	92.368322	50.296499	52.654496	38.127523
PRKCG	0.142662	0.156215	0.194857	0.72207	0.381018
TRAP1	35.4566900042119	52.93134	47.763274	53.508702	36.96912
GLIS2	6.579357	12.748609	26.529067	9.017664	12.29835
NSRP1	14.102817	21.187558	19.158847	12.24784	19.716162
DNAJC8	11.3123	24.287399	24.4167	17.548105	17.363839
AHDC1	5.357021	11.70519	6.17087	5.07304	16.6044
IFI6	121.2765	176.01997	261.7659	842.0254	379.5321
DACH2	0.00486556	0.0205681	0	0	0
ZNF384	9.961328	14.129763	13.853185857	19.952341	21.228656
EMG1	17.70783	17.73608	21.78337	29.16757	24.44329
SSX1	0.0881256	0.173974	0.023156	0.058516	0
UXT	115.57894	138.6788	157.79135	161.4988	109.94386
CFP	0.29351	4.62237	0.2752392	0.83297	0.55135
ELK1	19.22527	16.31009	19.34851	15.8045	17.79763
TIMM17B	83.874237	75.201518	78.27718	91.457053	76.314486
PCNXL4	3.242615	8.591814	5.277642	6.766808	4.929277
ATG14	2.41272	7.17442	3.23984	5.85027	4.23169
KTN1	43.9997310070144	82.96019	40.8142377	61.0428189	65.888272
SIX1	8.99881	6.82713	12.06718	2.80159	6.88445
RHOJ	2.78151	10.010697	3.56066	3.025375	2.847326
DLGAP5	2.808722	7.682836	8.190291	12.7620645	9.124769
L3HYPDH	7.12585	4.214582	5.01812	10.5562	15.09766
HSPA2	2.856861	11.619692	4.263953	2.204936	11.025237
ZBTB1	11.61338	25.08875	12.206826	16.21795	13.30747
TRMT5	4.217955	7.226755	4.380562	6.568759	7.164429
SGPP1	12.7252	16.3858	12.0882	13.1551	12.871
PLEKHG3	6.644124	37.7738939	8.608684	11.683947	9.694038
PZP	0	0.0438454	0	0.800604	0
PRDM7	0	0	0	0.0172436	0
RHOT1	15.242396	21.464005	11.9887935	10.936094	17.255013
EVI2A	13.12205	15.00928	12.307494	8.616788	3.54775
OMG	0	0	0.0929357	0	0
WDR60	3.486027	10.8482	6.06276	5.98857	6.81759
AIF1L	1.86819000155356	10.371809	8.30097	3.6011342	21.502198
FAM78A	5.41295	4.207251	3.022806	2.374063	1.640789
NUP214	22.251647	29.8652066	51.870608	29.02792	43.215546
CTAG2	0	4.43789	1.94022e-08	1.222551	0
AVPR2	0.1385914	0.523592	0.154351	0.2897133	0.3526107
SLC10A3	20.44584	36.58036	40.69684	14.48873	22.66703
MAP2K2	96.17505	95.2234	104.3514	87.37157	87.60274
HNRNPH2	33.7443	62.6215	64.1155	45.4938	37.7607
ARMCX1	2.18173	10.9491	9.97861	3.91217	1.582071
TMEM35	0.133448	0.947775	0.255257	0.133912	5.77012
NXF5	0.0387643	0	0.0218489	0	0
TIMM8A	3.77701	7.23316	6.96356	4.77579	4.79369
ZC4H2	0.873797	2.049801	1.321345	2.1426532	0.4317144
CANX	103.6591186	243.8193386	162.315163	408.278896	206.334711
CPSF3L	20.78920200055	33.75943822904	35.1271360130745	52.438813	37.7040410032356
RGS13	0	0.293379	0.801071	0	0
IPPK	3.13262	3.55852	5.2731	4.76921	4.61314
ZNF484	5.5554246797346	1.356816	1.7405889099258	1.492263130459	3.30240239
OMD	1.31411	1.29166	8.59869	0.344386	0.860925
FGD3	4.816565	6.50386	6.191543	2.73293	3.601011
HIVEP3	0.9761872062	1.8078233325	0.9832855	0.3841490230055	0.732506
PPCS	34.3530765	74.163449	63.051956	80.803708	62.734973
EDN2	2.37057	15.8226	13.0643	0.357344	9.0064
BCL11B	1.5548982	1.093927	0.58789496056	0.4733301	0.45187
COX7C	205.57559	374.960188	284.676729	392.67468	237.15457
TRAF2	16.093143	10.855853	25.283396	23.474419	21.38813
ABHD8	5.927126	7.97488	6.89938	9.960843	4.373633
MASP1	0.3402189032954	0.5585564	0.0741543	0.0216214	0.1628978
ATP13A4	20.381526358	32.2590052	3.34424	1.316284	17.3321682
HRASLS	1.1385	3.90909	1.285	4.08411	9.15552
HELB	0.927007	0.979533	1.0509	1.54542	1.26353
RAP1B	53.361547141433	101.8724460671	83.7129782	86.2427529	64.575131230736
IL22	0.0525579	0	0	0	0
TSPAN8	7.7329973	6.639446	2.559222	6.710822	2.5145266
BEST3	0.0663438	0.08197089	0.0661223	0.3857501	0.2120784
RAB3IP	6.8803924	10.383978	14.899443	33.786333439946	33.305315
PTPRB	2.894073919	7.9632665	1.66140323	1.81400263544119	1.535585
DYRK2	4.653628	8.596014	7.267356	6.93165	3.590461
YEATS4	5.950172	11.83762	10.612195	20.698754	18.470379
TAS2R3	0	0	0	0	0.0478737
TAS2R4	0.196287	0.678701	0.348862	0.157307	0.873371
TAS2R5	0.149343	1.23124	0.787822	0.420311	1.06699
CRYGN	0.676201	0.569232	0.8811445748	0.154471	2.194408
LRRC61	6.576084	12.9041	12.488073	16.423052	11.3292
TRPV5	0.0120983	0	0.00870079	0.04388287	0
IDUA	14.407274	14.50739	14.268176	9.961158	8.576716
FGFRL1	8.053505	18.9490748	16.665838	39.3166931	7.0921361
TMEM175	14.151149	15.200592	19.31900551257	16.83947	9.482672
AUNIP	0.493293	1.72394	1.84585	5.700073	3.3333
PIN1	21.882460708	40.23153	41.69076	36.95166	24.87212
FBXL12	9.679183	15.379486	13.861605	10.73767	9.1093110410875
EMC1	6.590988	26.035927	14.0686776	25.30161	14.713402
PLA2G5	1.02206	2.92769	7.80071	2.23326	1.39561
UBR4	28.846543	41.362213	33.0952413	41.7194377	45.580787
HP1BP3	39.547476	64.762353	40.258085	68.845868	87.79993
EMR2	1.8712729	3.1599086	3.554908	4.423228	0.919857
SIN3B	12.542412	19.894307	10.801419	18.466751	12.40496
OR7A10	0	0	0	0	0
SLC35E1	8.9725126	14.710252	14.3774879	8.152465	9.741077
EPS15L1	6.87682364	15.477643	11.382275	10.1917230896034	10.852731
KLF2	5.50605	12.425896	7.279332	4.82839	5.257105
OR7C2	0	0	0	0	0
OR7C1	0.0278106	0	0	0.0495551	0.0242987
F2RL3	1.43529	2.93191	1.27024	2.90798	1.28738
UQCR11	67.54844	101.76249	95.33686	89.669813	51.04725
GFER	13.278614	25.583189	24.8832346	26.3790455	16.7355205
SYNGR3	1.9969953	0.7435665	2.0669785	2.0574482	0.4274653
PKMYT1	5.9058853	16.21369349	19.602175138481	18.733717	10.786349281886
WFIKKN1	0.0430592	0.0455397	0.0630222	0.0299303	0.29259
WDR24	3.212159	9.719511	6.688319	6.66162	4.672499
FBXL16	0.196261	1.215084	0.489038	0.244543	1.251405
CHTF18	2.069236	3.8620912	3.7618813	6.166641	4.0546253
GNG13	0.0277722	0.327458	0.0589104	0.172875	0.342357
MACF1	37.6772802	128.6135206	59.56114701	28.86463563	59.3120749
SMARCA4	12.3044448	39.922781	20.0925925	3.6004560382554	25.4129453
KDM4B	5.811353	12.421545	10.012169	4.668112	9.030739
TICAM1	5.59771	14.0163	13.0485	17.8513	8.345058
METTL25	1.20534	2.410588	1.763553	2.5432	3.577585
IL17B	0	0	0.322269	0.271897	0
EMC6	24.60847	46.0105	46.45233	37.67396	23.30194
OR1E2	0	0	0	0	0
METTL16	3.10781	9.76641	6.6754	3.74837	2.76467
TUBA4A	19.1086021	102.81316	44.88469141642	48.832545	25.48145
VIL1	0.1075654	0.1559274	0.7335995	23.254441	0.2476713
AAMP	44.93816	105.80007	96.24743	136.75515	42.24187
PNKD	30.26283	80.10809	76.1187	120.60092	55.50121
TNFRSF19	3.406756	5.6756672	10.9247177	3.2543542	2.3307295
RNF6	5.247199	14.231944	10.00151	14.405636	8.14952
ECHS1	49.1223	62.1468	83.9034	113.651	99.1945
ZNF835	0.775697	0.407187	3.196581	0.25517	1.005927
AKAP9	3.61633325	12.1402627773099	7.11675559	6.5491885	12.5486313
GNG11	18.1994	21.0446	7.39717	4.7486	31.124
SHFM1	156.1393654	248.607361	226.593146000568	264.0835072	327.656642
GNGT1	0.504403	1.2563232	1.269671	0.0834002	0.876351
HIP1	10.4905	20.86521	21.063437	5.595803	35.3855
PTPN12	31.50283	62.339089	60.2706348	60.891391	47.5576225
POR	39.3917952	76.049722	61.381062	75.369035	136.000443
FGL2	15.0299	9.95964	12.832	4.4658	3.37922
STYXL1	20.798440032326	39.654405	37.766132	51.73773	49.40196
STEAP4	21.19887	54.95797	23.89962	70.88101	31.82581
GNAI1	4.926336	8.92139	13.758752	7.051682	1.85976
PEX1	1.046601	8.52372	7.181414	8.388461	8.985262
MTERF	3.213516	8.152381	6.635303	8.95795	8.654066
SGCE	12.468486	28.92743	54.289204	8.636106	19.254972
RBM48	4.483174	9.846513	7.645526	6.5617369	8.471526
CASD1	4.22424	14.7289	7.23159	5.23407	10.6587
ZNF780B	1.446070140037	2.667566262	1.729206	1.3560484603	1.72549322
LRFN1	0.48147	1.51304	0.610869	1.1577	0.633878
ZFP36	55.10914	182.2214	100.12183	213.03047	55.98054
SRD5A3	55.1657	89.4728	65.1368	21.42085	155.0696
SPINK2	1.781933	1.291319	6.78482	0.4553976	1.771503
RASL11B	0.855029	1.52905	0.536526	0.31747	0.373382
PAICS	27.975026	39.77396	56.1824	65.644827	32.122018
KDR	8.71015	32.6774	34.7448	2.42777	9.59018
PPAT	3.79036	7.55703	10.997	10.1744	6.60854
TUBGCP6	5.387983	9.08873	5.060354	3.578238	3.813352
ADM2	2.30636	8.22535	2.36355	3.541736	5.10017
DGCR6L	33.761692	73.615084	50.8327	34.94375	36.1652
DGCR8	2.297812308677	5.01783	3.96032	4.23001	3.427009
ASPHD2	3.20609	1.89439	2.61226	1.72485	0.445968
VPREB3	3.79964	1.719299	0.245464	1.204818	1.123001
SDF2L1	33.4921	41.8995	61.6347	87.3476	30.6781
GAL3ST1	3.7590656	5.615323	1.49385929844987	2.3994026	5.55739840432111
YWHAH	38.006725	147.76745	118.516913	55.849017	43.703405
RFPL1	0	0	0	0	0
RFPL2	0.0211425	0.0769904	0.0364263	0.0149115	0
GNAZ	0.170806	0.864894	0.6084	0.747203	2.08494
MGAT3	1.14362	6.328273	0.535291	0.525664	0.589392
ADORA2A	1.284712	0.6337682	0.4804131	0.8853889	0.3792837
ATF4	135.0491269	335.03847	232.81698	245.28626	205.358061
A4GALT	4.272492	17.90526	13.252095	23.746412	11.098567
RFPL3	0	0	0.0504486	0	0.085629
CDC42EP1	67.80976	253.36661	99.331442	31.6948791	87.59565
APOL3	24.41859	12.37235	16.326303	17.28857	3.969679
MCHR1	0.0815897	0.1286788	0.441061	0.287298	0.0721819
TPST2	15.713497	21.2011502	20.8094631	26.9133889	10.7754402
BAIAP2L2	0.7559996	2.222766	2.761341	8.999218	1.357245
MPST	21.33432	67.417494	41.1137	52.839855	31.204549
GALR3	0.0203855	0.0943561	0	0.143794	0.0178414
TST	22.457472	87.20914	40.683769	79.12881	39.435517
APOL5	0	0	0.0191935	0.032239	0.0158759
IGLL1	0.827294	0.0456858	0	0.0755892	4.52132
APOL2	35.655501	70.781846	58.70234	45.80845	12.521062
RAC2	64.142369	97.988899	61.116907	25.3437555	22.9347272
LIF	2.29977	39.2444	7.613858	5.25652	2.773107
C22orf23	1.274497	7.728371	3.5822291	2.792808228	2.518751
APOBEC3A	1.25938	1.59393	1.457406	1.39577	0.884316
APOBEC3F	7.11568	8.15181	4.54458	7.80362	4.26279
RIBC2	0.237904	1.23504	1.44099	3.16416	2.88481
KRT17	0.13149	32.118049	23.963	70.533132	2.05998
EMC4	50.435318	84.647797	85.163092	72.485552	48.003376
RNF112	0.272022	0.427294	0.053651	0.2753346	0.367698
SPECC1	3.7942914	13.268191	14.7183813	14.834905	5.9633616
CPA4	0.177314	0.640232	0.535748	0.372861	0.305578
DOCK4	3.053929	8.499984	4.5497616	1.4333492	3.0373893
POT1	3.320378	9.223548	9.690057	9.32468	11.308947
TAS2R16	0	0	0	0	0
ATP6V1F	148.15296	241.6497	243.8094	177.70423	222.567
NAA38	25.49087	50.58201	48.98731	37.85965	60.87747
CDHR3	0.269854	0.610372	0.1315036	0.4652857	0.761923
PRKRIP1	10.66308	26.12267	18.45899	20.33682	21.60698
VGF	0.066782	0.96276165	0.453355	0.216229	0.1161832
PODXL	0.981371	2.627677	0.9962783	1.303583	0.721164
FOXP2	0.54338969	0.6091892	3.119494655	2.580125892884	2.3707577
STRIP2	0.569483	1.5410195	12.49127	6.56178	9.26247
RABL5	5.870622850209	36.949773	30.298665	29.289816	22.408232
MKLN1	2.908883	6.510818	4.396427	6.120264	7.37684
DNAJB9	10.8343	22.45	23.2155	15.1617	14.4472
FLNC	0.411121	6.25069	5.030912	2.405415	1.2167416
LRRC4	0.343187	5.346296	1.809907	0.1791182	1.717334
CALU	48.44915	155.31695071	202.91599	107.93923	159.9540575
CCDC136	0.35099154	0.9972723	0.36961403	1.066922	0.27643124
SMO	1.30111	8.11016	4.2114	7.31343	1.03321
IRF5	4.990142	15.923641	8.062309149	6.230719468	17.729395
LRRC17	1.7422266	7.603258	3.855372	1.09061	1.3012947
KLHDC10	9.5046197	20.67231	23.487582	7.9974971	17.899921
NDUFA5	18.638157	73.214355	59.611951	70.098365	35.691943
FEZF1	0.2820071	0.1012333	7.5564	1.0362532	0.2829142
OPN1SW	1.48082	3.20965	5.68812	1.71233	5.16058
MRPS12	21.43308	36.94593	52.62419	46.53919	24.24274
MYO1B	15.770021	80.01032	40.06371	31.948415	19.54984
HOXD1	4.08123	2.25985	5.93487	0.0791525	4.17387
HOXD3	0.085218	0.224528	0.271758	0.0327094	0.496153
MTX2	18.772158	37.115993	29.3885	51.44497	21.50061
PDE11A	0.0919782	0.25311	0.103316	0.1883	0.0873987
CHN1	8.808288	13.0682276	25.5135297	5.5989939	7.33927
GAD1	0.0877718	1.735139	3.424426	2.6178118	1.6144623
OSGEPL1	3.4891432	4.5674775	4.6342559	8.483708	4.4330316
ORMDL1	31.87813	49.624278	38.179481	66.17576	35.753829
HAT1	11.328	34.8396	35.0235	24.5273	19.0975
HOXD9	0.0957703	0.870623	1.10659	2.61259	0.145784
HOXD10	0	0.113765	0.37117	2.32279	0
HOXD11	0	0	0.052567	0.835719	0
HOXD13	0	0.0490548	0	0.257735	0
HERC2	2.183491	4.51238	3.369852	2.01476	3.14662
SNRPN	23.404948	113.562197	99.794135	151.81401	46.290607
PSMG2	52.088347	50.60263	57.115433	69.035274	34.30986
TWSG1	7.290206	24.187837	32.930308	13.015652	8.28593
ARHGAP22	1.5331204	2.077015	4.217726	1.302211	1.789189
WDFY4	3.6080919	5.76976	2.1780262	1.4253814	4.0543438
EIF2AK4	13.7249298	29.002894	25.6259262	17.311759	15.0661607
MYO5C	4.09634	14.1124	10.3946	8.07887	10.1416111
CGNL1	3.93573	11.3468	4.25414	0.889231	2.10323
TMOD2	0.968234	2.36991	3.490001	0.513972	0.972992
TTBK2	1.08501509	2.3328833	1.9302505	1.200429	1.30869575
ELL3	0	0.386138	0.226688	0	0.237907
C15orf57	15.5638336	17.7122544	11.956085	13.818012	9.8192776
INO80	3.81528	9.27007	6.1090884	5.92126	6.0428086
NARG2	1.6341521	4.8467605	3.194502	3.930066	4.1745048
DLL4	5.87103	15.494	16.0535	3.39488	10.3766
ALDH1A2	0.4435626	1.1856184	1.3154275	1.269393	0.192949
FAM63B	1.68315	7.13513	7.38464	2.9464757	2.78953
IVD	20.0959495	32.84879	16.4672760058044	20.1389337	18.833835
KNSTRN	6.7062998	9.796107	11.778139	18.3802023	8.730931
DUT	22.058019	47.38015	48.143625	60.271886	34.071616
CHAC1	2.623718	7.51903025	5.7659758	6.255234	4.9222327
CLN6	11.7139	21.854329	26.581044	22.766336	19.9814582
ARPP19	17.667757	46.5319635	32.6793501	25.1371804	21.6459767
VPS13C	2.42648549981	6.21673410651	2.925762025	2.0585800561836	2.23957300062753
CALML4	1.072394006	2.2289398	2.220992	4.1047156	1.4182558
ISLR	51.3232	66.054279	108.0076	26.86117	32.45507
THAP10	0.367716	2.66889	1.588131	2.48324	1.950005
LOXL1	6.51131	8.51775	19.3693	10.4028	5.03375
ACKR4	1.04623	2.53295	1.51178	1.50436	0.411426
ANAPC13	27.867882	62.637866	52.113944	64.360101	60.500515
MBD4	16.7109916	27.53008	18.93801	20.59114	27.5989676
COPB1	24.1098454	49.804845	64.186522	71.838908	39.229655
PSMA1	47.325504	61.177954	80.83649	105.105426	47.228061
SUMF2	79.6811454	217.167136	119.365224	102.3730056	222.528794
PALLD	8.839748851	36.929284	18.6584459	5.6936983202	7.2309726
SPCS3	24.0251	43.5091	36.9063	34.1041	19.8455
BBOX1	0.0257404	0.386383	0.377797	0.54251369	0.198905
MYOD1	0	0	0	0.0218237	0
SERGEF	7.472211	14.691963115149	11.938988	14.6768130019456	5.43841999208
KCNC1	0	0.0283795	0.00341952	0.0344832	0
TPH1	0.16918383	0.256251	0.188077	0.477883	0.485674
CSRP3	0	0.0205385	0	0	0.0709993
E2F8	0.869846	2.028422	2.610348	5.90144	3.513266
DCTD	33.42293	44.88635	56.953595	44.301115	42.42896
SOX15	1.566322	15.8062	2.462699	1.2612	9.822597
FAM64A	5.055032	9.119342	7.846885	6.515125	8.466248
RPAIN	8.556293	16.924787	12.6177434	9.527459	8.614705
USP6	0.2128228	0.529298000037791	0.30697000183346	0.235507	0.3720801
SHBG	0.1283579	0.509368	0.270697285	0.2513903	0.09404779
PLD2	7.027336	17.07805	15.419114	12.01033	8.40787
AIPL1	0.048632	0.193409	0.10570009	0.1229384	0.0979376
CD68	135.895607	286.59826	139.36895	166.17786	37.4454204
TXNDC17	116.68293	165.12627	158.595108	57.257	129.069768
ATP1B2	0.628574	1.2896143	0.2096503	0.480253	0.24395
FXR2	9.0206	23.11848	18.7760105	16.687747	10.8166442
KIF1C	13.704214	35.85554	35.48183	16.09271	14.188585
MPDU1	13.2479920564149	37.817545	19.578966	26.373989	15.344427
PHF20L1	4.3648072	8.863238	8.10453	5.2559898	5.3206374
LRRC6	0.4957088	2.729606	2.604327	5.4642207	0.8872269418
CCNT1	3.071482	8.235868	4.6739	10.94522	6.72375
PUS7L	1.2855841	3.010135	1.8354449	4.4443497	3.7889404
KRI1	6.96054	14.73858	8.97453	13.219974	8.92921
ILF3	31.956219	56.7375775	44.928622	53.105328	53.795988
SLC44A2	56.846750679596	76.577382	87.65203	62.32382	60.22126
AP1M2	48.424039	86.589415	59.557778	76.625151	77.9715921
CDKN2D	5.84028	7.32709	10.3417	11.25436	6.97805
MTUS1	10.522119	29.511617	30.3758759	22.3567352	38.194889
KLK14	0.413263	0.39993	1.60558	1.1946	0.789472
SIGLEC9	4.167008	5.815742	6.290973	3.367956	1.011294
KLK10	0.0371749	8.838579	2.5616739	5.021679	0.1599594
KLK8	0	1.034813	0	8.234621	0.2302144
NGDN	14.3019111	43.814198	19.8620294	29.033792	25.77277
RIPK3	10.04688	17.08892	8.80454	2.107686	9.88277
ADCY4	0.8756962141787	1.83326898563	1.61146318	0.7435849	0.27254736158057
RAB2B	9.5288	21.1852	9.74088	15.03803	14.19085
BCL2L2	12.008825	29.001629	16.697417	17.67115	16.792774
AJUBA	7.267513	13.6402	15.444097	16.022583	11.2627856
DTD2	3.491424	10.7654242	4.925334	7.51105	8.18724
PARP2	10.269218	22.40051	12.33523	14.343214838	18.27397
HEATR5A	6.072281	12.8736663	5.1726573	16.9617714	8.0832176
FOXA1	14.3707	10.9335	11.0536	41.9923	46.4202
SNX6	69.313094	75.185885	44.167783	66.098094	32.8538239
EAPP	66.64364	47.4431	21.795755	41.407247	23.023719
EGLN3	5.605502	17.737175	54.58794	41.71071	13.462202
MIS18BP1	2.893451	6.561963	5.0818151	6.323155	6.86786
NRL	0.5291511	1.699795	0.824092	1.2183671	0.914172
RNASE1	767.2287	1069.19119	543.26351	102.22696	281.36143
NEDD8	95.23706	239.74359	151.86104	195.71061	129.91019
DAD1	186.194057	301.813026	221.108787	304.642558	193.646324
TEP1	7.532197	12.66769	8.52887	9.34127900265642	7.69709
EPB41L4A	2.120328	3.91118	3.1962176	1.414999	2.0592654
CDO1	0.283057	1.57402	0.41794	0.288799	0.22777
REEP5	28.951378	54.477034	41.293618	23.034938	23.417493
ITFG1	14.057183	30.75111	14.434117	23.48872	8.452308
QRICH2	0.475017	1.283583	1.273641	1.222203	0.758831
FOXJ1	1.54988	2.0282	16.0493	14.1724	23.5379
SEC14L1	20.4456932	42.422161	25.6333201	17.6443017	11.2920195
RHBDF2	17.063929	28.284589	21.433205	21.020555	22.8593394002987
AANAT	0.3225194	1.028269	0.2786931	0.2216678	1.233726
ARHGEF6	6.980567	8.5710367	5.5199766777	2.8041138	2.316668
MAP7D3	1.18676381	4.356651	3.225795	2.157078	1.065575
FGF13	1.00955289	7.779959	8.533984	1.478322	0.71463356035
ASH2L	16.05003	12.989161	14.98557	59.201635	9.207227
TTI2	2.774735	5.139235	5.523665	5.51663030507	3.63859
ART1	0.058182	0	0	0	0.0341064
CHRNA10	0.2136269	0.616088	0.36909	0.185745	0.656549
CDKN1C	4.60899	11.61236	8.9871573	4.292112	4.452497
SGOL1	1.129339	1.302728	3.7416394	5.939312	2.73025
RPS4Y1	0	0.0435367	33.0933	0.0354466	0
VCY1B	0	0	0	0	0
VCY	0	0	0	0	0
CDY2B	0	0	0	0	0
CDH15	0.641461	0.778284	3.17134	1.80609	1.72549
KLF16	5.009144	8.22222	11.336537	15.429717	6.49761
TMEM8A	40.653731	69.529254	56.997188	48.154684	33.3598797
DOHH	5.738945	8.474068	10.3804332	13.242757	7.388906
MAU2	7.50184	13.2596	10.0496	6.6918	8.133526
SHC2	6.84963	19.568	8.06005	3.63723	8.0674
LPPR3	0.0356084	0.772199	0.0769355	1.974015	1.370262
INS-IGF2	0	0	0.0444103	0	0
ABHD17A	25.2435	22.60493	26.60862	22.29807	17.95769
LBP	0.0520781	0.125417	0	9.0875	0.0339954
SYT5	0.3180846	0.13248105	0.525435	3.621922	0.2788768
TNNI3	2.1586327	1.24223	0	3.1424456	1.0686638
CBFA2T3	1.1769410454388	6.457618	0.277722	0.390798	0.7978624
GAMT	4.461649	25.03086547	9.26403	3.890621	20.4436
HDHD1	10.5385216	25.1317495	11.119473	17.6478729	13.07632
ERMARD	7.730433	12.289621	5.723859	9.618138	12.74613
PHF10	14.96523	38.44681	37.25874	34.46199	21.81794
PRRG3	0.1331038	1.412726	0.215305	0.2520941	0.223785
GALNT8	0.0216415	0.540389	0.3823644	30.311659	0
KCNA5	0.123201	0.371036	0.145836	0.105286	0.0720656
EFCAB4B	0.493484	0.537382	1.392976	1.821474	0.149699
NXNL2	0.30986	0.490645	0.333305	0.929448	0.4485176
STARD8	1.90583	4.231717	1.8856270112338	1.52954	1.040425
FAM155B	0.0454295	1.88287	0.029574	0.71143	0.253561
GDPD2	0.0626454	0.0684483	0.117155	0.141544	0.171238
SAT1	266.97408	586.347	1341.51199	431.613187	198.082524
GNL3L	2.33323	7.16872	5.20865	6.98967	3.745617
SH3BP4	3.885085	19.896663	14.400184	9.181837	7.5952671
MOSPD2	5.4063313	9.255438	9.033137	6.183483	3.779294
DOCK6	7.08418	17.04125	9.64695	12.65383	9.6577335
ECSIT	9.124334	15.400227	13.8557439	20.689996	14.3888821
LDLR	10.2275025	42.15192	22.7597447	12.645151	11.3825472
ELOF1	37.458203	71.2584794	62.294498	48.857768	36.8090427
TSPAN16	0.0556374	0.209666	0.0589407	0.0246771	0
C19orf80	0.198664	0.21201	0.136376	0.2604262	0.577548
PRKCSH	101.931305404817	144.3046	167.4807033	231.013434	150.5314373
CNN1	3.223123	11.136432	34.4651427	6.883832	5.050511
CDC16	11.126464	30.178932	30.386815	33.736035	18.611983
ZSCAN10	0.2313657	0	0.1970017	0.2091578	0.106166
THEM6	16.1938	15.1448	17.1853	29.1015	28.1014
EXOC3L2	4.119340557299	3.350254	2.185566963	2.01535	2.97919000611597
PVRL2	93.21367	152.09086	157.3865	186.1457	96.81531
APOE	414.36178	484.1924	150.71275	391.14784	107.54842
TOMM40	26.999342	57.6714	67.04163	65.47661	31.780446
APOC1	403.20972	840.9535	90.60549	146.56549	91.018261
GADD45G	15.915862	13.45081	18.124371	17.066718	16.19021
LRCH2	0.590378	6.44079	0.6960510403259	0.258325	0.25200000172605
DPP6	0.0197699	0.0441763	0.0464905	0.1135546	0.0441903
XPO7	8.727622	14.195504	14.051752	16.036889	17.485831
ACE2	0.330465	1.02026	0.495463	11.10584	1.166482
FAM98C	3.86868	9.030149	7.607663	5.5777663	5.962658
SAFB2	10.8416	17.1436	12.8965	18.7332	13.989772
RPL36	572.877667	867.53799	1193.832245	681.396942	984.35966
ATP8B3	0.81062193	2.91822	1.476837	0.231049	1.404386
GDF1	0	0.0229352	0.00560312	0.0284617	0.00502664
NCAN	0.00357733	0	0.0287154	0	0.0125425
KIF1A	0.00640393	0.6496702	0.0262624	27.0542131	0.516377
GTPBP3	4.6672112	8.096325	5.697082	12.2620360009054	8.236852
PLVAP	59.3461	55.4894	40.3829	35.8915	28.0119
BST2	181.644	161.017	387.375	368.083	112.221
SLC27A1	4.567891	13.143767	7.6826473	4.3019118	4.7909712
NSUN5	13.379663	31.085499	32.361101	43.338987	51.11183
USHBP1	1.188789	1.620013	1.118928	0.953722	0.848071
COLGALT1	14.474343	34.356183	43.645003	31.535875	20.747406
DDA1	6.17748	11.7002	8.69335	8.4661	8.59166
MRPL34	39.215362	47.39347	43.72745	45.0982839	28.84241
PGLS	39.197661	74.172058	61.785908	67.874832	62.5837
LSM7	58.93127	68.17604	110.95903	72.96684	74.69074
TULP4	2.0423	4.99216	3.1624049	2.65798	3.99573
SNX9	13.36681	22.70145	20.3405317	16.40159	14.1892782
RTN4IP1	2.1888	6.63154	3.19753	7.60873	2.88708
QRSL1	2.688051	5.958164	3.929381	4.633804	3.248363
C6orf203	6.086471	19.62553	12.037042	10.29655	7.9086
RSPH3	1.39054	6.583373	2.2326407	4.92159	2.16082
MAS1	0.0617587	0.0506438	0.0610299	0.0770951	0.0749936
ACSBG2	0	0	0	0	0
MLLT1	12.339	23.5911	19.1402	16.8447	24.9381
FUT5	0.0161732	0	0	0	0.0136934
BMP15	0	0	0	0	0
MLLT4	20.7877862	58.775147	28.5303496	20.5162586	40.3361711
ACTN4	73.796613	157.475605	189.32398	108.363249	68.903977
STK33	1.5926301	3.737469	1.4239948	0.9076344	2.68494879946911
NDUFA10	18.163396	69.92165250881	53.881485	78.761152	18.587601
EPO	0.038463	0.0831052	0.0404036	0.0168827	0.334028
ARPC1B	125.923208179166	248.38091	397.941206	385.590296	357.201427
CACNG6	0.1946535	0.218967	0.0485604	0.03987593	0.18542
ZSWIM6	3.76563	5.99005	4.25171	3.02588	2.70073
FCHO1	5.1829518	7.40963467243	7.4826705746	5.63475057179219	4.0885108
UNC13A	0.0798731	0.1651646	0.0527474	0.1277711	0.0578436
MAP1S	12.58222	26.22625	28.654953	17.67067	15.609091
KLHDC7B	2.9295	0.642886	4.13239	2.07244	0.507704
SCO2	28.51132	45.926374	65.6548	74.27747	43.71851
PXDN	14.296067	74.271703	52.125488	7.3376813	26.141285
SSBP4	31.390862	43.38674	43.511399	36.54562	29.666402
GDF15	8.439947	65.9977	14.212925	45.93611	83.9122
PGPEP1	7.134027	12.409046	8.1630054	4.294726	5.576659
KIAA1683	1.1955601	1.53348400533	1.4731688054	1.298313	1.890251
LSM4	50.4393	55.654563	85.20414	126.48276	66.279004
JUND	38.55364	104.107	71.3462	59.30739	40.67027
HRC	0.4968032	0.221078	0.0918699	0.899965	0.711637
TRPM4	8.91548	15.602274	23.17684	23.74053	7.722975
OR11H1	0	0	0	0	0
SULT4A1	0	0	0	0	0
ZNF557	1.708436	3.08715	2.057782	1.772666	1.790433
CRB3	25.747602	39.51974	23.558866	57.551463	19.825266
OLFM1	2.060808680854	5.6268788896	4.7414	1.1410131	1.452969
